Carrier,FlightNumber,ServiceType,EffectiveDate,DiscontinuedDate,DOW,Departure Airport,DepartureTime,ArrivalAirport,ArrivalTime,SubAircraftTypeCode
AA,217,J,05MAR24,09MAR24,23456,DCA,0840,CHS,1034,319
AA,217,J,05MAR24,09MAR24,23456,CHS,1127,DCA,1259,319
AA,284,J,16MAR24,23MAR24,6,DCA,0840,CHS,1035,319
AA,284,J,16MAR24,23MAR24,6,CHS,1127,DCA,1259,319
AA,284,J,30MAR24,30MAR24,6,DCA,0840,CHS,1035,319
AA,284,J,30MAR24,30MAR24,6,CHS,1127,DCA,1259,319
AA,368,J,15FEB24,17FEB24,456,CLT,2251,CHS,2359,738
AA,368,J,18FEB24,25FEB24,7,CLT,2250,CHS,2358,738
AA,368,J,19FEB24,02MAR24,123456,CLT,2251,CHS,2359,738
AA,368,J,03MAR24,03MAR24,7,CLT,2250,CHS,2358,738
AA,368,J,04MAR24,04MAR24,1,CLT,2251,CHS,2359,738
AA,368,J,05MAR24,09MAR24,23456,CLT,2249,CHS,2356,738
AA,368,J,10MAR24,10MAR24,7,CLT,2250,CHS,2357,738
AA,368,J,11MAR24,30MAR24,123456,CLT,2249,CHS,2355,738
AA,368,J,17MAR24,24MAR24,7,CLT,2250,CHS,2357,738
AA,368,J,31MAR24,31MAR24,7,CLT,2250,CHS,2357,738
AA,368,J,01APR24,03APR24,123,CLT,2249,CHS,2355,738
AA,411,J,06MAY24,10MAY24,12345,CLT,1433,CHS,1532,319
AA,411,J,06MAY24,10MAY24,12345,CHS,1612,CLT,1719,319
AA,411,J,12MAY24,17MAY24,12345 7,CLT,1433,CHS,1532,319
AA,411,J,12MAY24,17MAY24,12345 7,CHS,1612,CLT,1719,319
AA,411,J,19MAY24,24MAY24,12345 7,CLT,1433,CHS,1532,319
AA,411,J,19MAY24,24MAY24,12345 7,CHS,1612,CLT,1719,319
AA,411,J,26MAY24,31MAY24,12345 7,CLT,1433,CHS,1532,319
AA,411,J,26MAY24,31MAY24,12345 7,CHS,1612,CLT,1719,319
AA,411,J,02JUN24,04JUN24,12    7,CLT,1433,CHS,1532,319
AA,411,J,02JUN24,04JUN24,12    7,CHS,1612,CLT,1719,319
AA,425,J,04APR24,08APR24,1  4567,CLT,2251,CHS,2359,738
AA,425,J,09APR24,23APR24,2,CLT,1800,CHS,1903,738
AA,425,J,10APR24,29APR24,1 34567,CLT,2251,CHS,2359,738
AA,425,J,30APR24,30APR24,2,CLT,1800,CHS,1903,738
AA,425,J,01MAY24,05MAY24,34567,CLT,2251,CHS,2359,738
AA,425,J,06MAY24,04JUN24,1234567,CLT,2248,CHS,2354,738
AA,425,J,05JUN24,26OCT24,1234567,CLT,2220,CHS,2326,738
AA,445,J,04APR24,04APR24,4,CHS,0758,DCA,0929,319
AA,521,J,04APR24,05APR24,45,PHL,0823,CHS,1021,320
AA,521,J,04APR24,05APR24,45,CHS,1106,PHL,1255,320
AA,521,J,07APR24,08APR24,1     7,PHL,0823,CHS,1021,320
AA,521,J,07APR24,08APR24,1     7,CHS,1106,PHL,1255,320
AA,521,J,09APR24,10APR24,23,PHL,0823,CHS,1021,320
AA,521,J,09APR24,10APR24,23,CHS,1106,PHL,1255,320
AA,521,J,11APR24,12APR24,45,PHL,0823,CHS,1021,320
AA,521,J,11APR24,12APR24,45,CHS,1106,PHL,1255,320
AA,521,J,14APR24,18APR24,1234  7,PHL,0823,CHS,1021,320
AA,521,J,14APR24,18APR24,1234  7,CHS,1106,PHL,1255,320
AA,521,J,19APR24,19APR24,5,PHL,0823,CHS,1021,320
AA,521,J,19APR24,19APR24,5,CHS,1106,PHL,1255,320
AA,521,J,21APR24,21APR24,7,PHL,0823,CHS,1021,320
AA,521,J,21APR24,21APR24,7,CHS,1106,PHL,1255,320
AA,521,J,22APR24,03MAY24,12345 7,PHL,0823,CHS,1021,320
AA,521,J,22APR24,03MAY24,12345 7,CHS,1106,PHL,1255,320
AA,521,J,06MAY24,10MAY24,12345,PHL,0826,CHS,1016,320
AA,521,J,06MAY24,10MAY24,12345,CHS,1101,PHL,1248,320
AA,521,J,11MAY24,11MAY24,6,PHL,0820,CHS,1013,319
AA,521,J,11MAY24,11MAY24,6,CHS,1058,PHL,1246,319
AA,521,J,12MAY24,31MAY24,12345 7,PHL,0826,CHS,1016,320
AA,521,J,12MAY24,31MAY24,12345 7,CHS,1101,PHL,1248,320
AA,521,J,18MAY24,25MAY24,6,PHL,0820,CHS,1013,319
AA,521,J,18MAY24,25MAY24,6,CHS,1058,PHL,1246,319
AA,521,J,01JUN24,01JUN24,6,PHL,0820,CHS,1013,319
AA,521,J,01JUN24,01JUN24,6,CHS,1058,PHL,1246,319
AA,521,J,02JUN24,04JUN24,12    7,PHL,0826,CHS,1016,320
