Carrier,FlightNumber,ServiceType,EffectiveDate,DiscontinuedDate,DOW,Departure Airport,DepartureTime,ArrivalAirport,ArrivalTime,SubAircraftTypeCode
AA,311,J,4-Apr-23,8-Apr-23,23456,CHS,748,PHL,935,319
AA,311,J,9-Apr-23,1-May-23,1     7,CHS,800,PHL,947,319
AA,311,J,11-Apr-23,29-Apr-23,23456,CHS,748,PHL,935,319
AA,311,J,2-May-23,4-May-23,234,CHS,748,PHL,935,319
AA,319,J,12-Jan-23,13-Jan-23,45,DFW,1534,CHS,1853,320
AA,319,J,12-Jan-23,13-Jan-23,45,CHS,1939,DFW,2144,320
AA,319,J,15-Jan-23,15-Jan-23,7,DFW,1534,CHS,1853,320
AA,319,J,15-Jan-23,15-Jan-23,7,CHS,1939,DFW,2144,320
AA,319,J,19-Jan-23,20-Jan-23,45,DFW,1534,CHS,1853,320
AA,319,J,19-Jan-23,20-Jan-23,45,CHS,1939,DFW,2144,320
AA,319,J,22-Jan-23,22-Jan-23,7,DFW,1534,CHS,1853,320
AA,319,J,22-Jan-23,22-Jan-23,7,CHS,1939,DFW,2144,320
AA,319,J,26-Jan-23,27-Jan-23,45,DFW,1534,CHS,1853,320
AA,319,J,26-Jan-23,27-Jan-23,45,CHS,1939,DFW,2144,320
AA,319,J,29-Jan-23,29-Jan-23,7,DFW,1534,CHS,1853,320
AA,319,J,29-Jan-23,29-Jan-23,7,CHS,1939,DFW,2144,320
AA,319,J,2-Feb-23,2-Feb-23,4,DFW,1534,CHS,1853,320
AA,319,J,2-Feb-23,2-Feb-23,4,CHS,1939,DFW,2144,320
AA,378,J,1-Jan-23,9-Jan-23,1234567,CHS,705,DFW,914,738
AA,378,J,10-Jan-23,2-Feb-23,1234567,CHS,705,DFW,911,738
AA,396,J,3-Feb-23,3-Feb-23,5,CLT,2035,CHS,2137,319
AA,396,J,4-Feb-23,4-Feb-23,6,CLT,2040,CHS,2148,321
AA,396,J,5-Feb-23,8-Feb-23,123   7,CLT,2035,CHS,2143,321
AA,396,J,9-Feb-23,10-Feb-23,45,CLT,2035,CHS,2137,319
AA,396,J,11-Feb-23,11-Feb-23,6,CLT,2040,CHS,2148,321
AA,396,J,12-Feb-23,12-Feb-23,7,CLT,2035,CHS,2143,321
AA,396,J,13-Feb-23,15-Feb-23,123,CLT,2035,CHS,2143,321
AA,396,J,16-Feb-23,16-Feb-23,4,CLT,2035,CHS,2137,319
AA,396,J,17-Feb-23,19-Feb-23,    5 7,CLT,2035,CHS,2143,321
AA,396,J,18-Feb-23,18-Feb-23,6,CLT,2040,CHS,2148,321
AA,396,J,20-Feb-23,22-Feb-23,123,CLT,2035,CHS,2143,321
AA,396,J,23-Feb-23,24-Feb-23,45,CLT,2035,CHS,2137,319
AA,396,J,25-Feb-23,25-Feb-23,6,CLT,2040,CHS,2148,321
AA,396,J,26-Feb-23,28-Feb-23,12    7,CLT,2035,CHS,2143,321
AA,396,J,1-Mar-23,11-Mar-23,1234567,CLT,2035,CHS,2137,321
AA,396,J,12-Mar-23,3-Apr-23,1234567,CLT,2035,CHS,2137,321
AA,468,J,4-Apr-23,4-May-23,1234567,CHS,705,DFW,910,738
