id,flight_id,flight_number,airline_id,departure_airport,arrival_airport,departure_datetime,arrival_datetime,subaircrafttypecode
1,15018,1869,WN,CHS,DEN,2025-01-04 06:40:00,2025-01-04 08:35:00,73H
2,8015,2296,AA,MIA,CHS,2025-01-02 21:46:00,2025-01-02 23:46:00,319
3,8015,2296,AA,MIA,CHS,2025-01-03 21:46:00,2025-01-03 23:46:00,319
4,5968,482,UA,ORD,CHS,2025-01-01 07:25:00,2025-01-01 10:27:00,319
5,5968,482,UA,ORD,CHS,2025-01-02 07:25:00,2025-01-02 10:27:00,319
6,5968,482,UA,ORD,CHS,2025-01-03 07:25:00,2025-01-03 10:27:00,319
7,5968,482,UA,ORD,CHS,2025-01-04 07:25:00,2025-01-04 10:27:00,319
8,5968,482,UA,ORD,CHS,2025-01-06 07:25:00,2025-01-06 10:27:00,319
9,5968,482,UA,ORD,CHS,2025-01-07 07:25:00,2025-01-07 10:27:00,319
10,5968,482,UA,ORD,CHS,2025-01-08 07:25:00,2025-01-08 10:27:00,319
11,5968,482,UA,ORD,CHS,2025-01-09 07:25:00,2025-01-09 10:27:00,319
12,5968,482,UA,ORD,CHS,2025-01-10 07:25:00,2025-01-10 10:27:00,319
13,5968,482,UA,ORD,CHS,2025-01-11 07:25:00,2025-01-11 10:27:00,319
14,5968,482,UA,ORD,CHS,2025-01-13 07:25:00,2025-01-13 10:27:00,319
15,5968,482,UA,ORD,CHS,2025-01-14 07:25:00,2025-01-14 10:27:00,319
16,5968,482,UA,ORD,CHS,2025-01-15 07:25:00,2025-01-15 10:27:00,319
17,5968,482,UA,ORD,CHS,2025-01-16 07:25:00,2025-01-16 10:27:00,319
18,5968,482,UA,ORD,CHS,2025-01-17 07:25:00,2025-01-17 10:27:00,319
19,5968,482,UA,ORD,CHS,2025-01-18 07:25:00,2025-01-18 10:27:00,319
20,12694,4787,DL,CHS,MSP,2025-01-06 13:42:00,2025-01-06 15:54:00,CR9
21,12694,4787,DL,CHS,MSP,2025-01-09 13:42:00,2025-01-09 15:54:00,CR9
22,12694,4787,DL,CHS,MSP,2025-01-10 13:42:00,2025-01-10 15:54:00,CR9
23,12694,4787,DL,CHS,MSP,2025-01-13 13:42:00,2025-01-13 15:54:00,CR9
24,12694,4787,DL,CHS,MSP,2025-01-16 13:42:00,2025-01-16 15:54:00,CR9
25,12694,4787,DL,CHS,MSP,2025-01-17 13:42:00,2025-01-17 15:54:00,CR9
26,12693,4787,DL,MSP,CHS,2025-01-06 09:05:00,2025-01-06 13:02:00,CR9
27,12693,4787,DL,MSP,CHS,2025-01-09 09:05:00,2025-01-09 13:02:00,CR9
28,12693,4787,DL,MSP,CHS,2025-01-10 09:05:00,2025-01-10 13:02:00,CR9
29,12693,4787,DL,MSP,CHS,2025-01-13 09:05:00,2025-01-13 13:02:00,CR9
30,12693,4787,DL,MSP,CHS,2025-01-16 09:05:00,2025-01-16 13:02:00,CR9
31,12693,4787,DL,MSP,CHS,2025-01-17 09:05:00,2025-01-17 13:02:00,CR9
32,429,1422,AA,DFW,CHS,2025-01-07 18:30:00,2025-01-07 21:58:00,319
33,429,1422,AA,DFW,CHS,2025-01-09 18:30:00,2025-01-09 21:58:00,319
34,429,1422,AA,DFW,CHS,2025-01-11 18:30:00,2025-01-11 21:58:00,319
